student_id,student_level,academic_level,legal_sex,race_ethnicity,us_citizen,wi_residency,age_group,credits_enrolled,plan_school_college,academic_plan,term_admit_type,full_time_part_time,home_region_type,home_location,home_latitude,home_longitude,origin_institution_type,origin_institution_name,origin_institution_code,origin_institution_city,origin_institution_state
29,Undergraduate,Senior,Male,Hispanic,U.S. Citizen,Resident,18 to 21,15,Agricultural and Life Sciences,Wildlife Ecology BS,First Time Undergraduate,Full Time,WI County,Milwaukee,43.0178,-87.9818,High School,Hamilton High School,11734,Sussex,Wisconsin
30,Undergraduate,Senior,Male,White,U.S. Citizen,Non-Resident,18 to 21,9,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,Minnesota,46.25,-94.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
31,Undergraduate,Senior,Female,Hispanic,U.S. Citizen,Resident,18 to 21,15,Agricultural and Life Sciences,Wildlife Ecology BS,First Time Undergraduate,Full Time,WI County,Dane,43.073,-89.4247,High School,Arrowhead High School,11376,Hartland,Wisconsin
32,Undergraduate,Senior,Male,White,U.S. Citizen,Non-Resident,18 to 21,12,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,California,37.25,-119.75,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
33,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,22 to 29,14,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,Minnesota,46.25,-94.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
34,Undergraduate,Senior,Male,Asian,U.S. Citizen,Resident,30 to 39,13,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Waukesha,43.0181,-88.3044,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
35,Undergraduate,Senior,Male,White,U.S. Citizen,Non-Resident,18 to 21,13,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,Illinois,40.0,-89.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
36,Undergraduate,Senior,Female,Hispanic,U.S. Citizen,Resident,18 to 21,18,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Outagamie,44.419,-88.4637,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
37,Undergraduate,Senior,Male,White,U.S. Citizen,Resident,22 to 29,16,Agricultural and Life Sciences,Wildlife Ecology BS,First Time Undergraduate,Full Time,WI County,Manitowoc,44.1103,-87.8415,High School,James Madison Memorial Hs,11820,Madison,Wisconsin
38,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,17,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Columbia,43.4614,-89.3035,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
39,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,15,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,Minnesota,46.25,-94.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
40,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,11,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,California,37.25,-119.75,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
41,Undergraduate,Senior,Male,White,U.S. Citizen,Resident,18 to 21,13,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Jefferson,43.0217,-88.7768,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
42,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,14,Agricultural and Life Sciences,Wildlife Ecology BS,First Time Undergraduate,Full Time,US State,Massachusetts,42.3616,-72.1839,High School,Wauwatosa East High School,11770,Wauwatosa,Wisconsin
43,Undergraduate,Senior,Male,Hispanic,U.S. Citizen,Resident,18 to 21,14,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
44,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,12,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Washington,43.3686,-88.2293,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
45,Undergraduate,Senior,Female,Hispanic,U.S. Citizen,Resident,18 to 21,15,Agricultural and Life Sciences,Wildlife Ecology BS,First Time Undergraduate,Full Time,WI County,Dane,43.073,-89.4247,High School,Oconomowoc High School,60302,Oconomowoc,Wisconsin
46,Undergraduate,Senior,Male,White,U.S. Citizen,Non-Resident,18 to 21,15,Agricultural and Life Sciences,Wildlife Ecology BS,First Time Undergraduate,Full Time,US State,California,37.25,-119.75,High School,Ronald W Reagan Coll Prep Hs,4270413,Milwaukee,Wisconsin
47,Undergraduate,Senior,Female,2 or more races,U.S. Citizen,Resident,22 to 29,14,Agricultural and Life Sciences,Wildlife Ecology BS,Undergraduate Transfer,Full Time,WI County,Marathon,44.8951,-89.7693,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
48,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,12,Agricultural and Life Sciences,Wildlife Ecology BS,First Time Undergraduate,Full Time,WI County,Dane,43.073,-89.4247,High School,Nicolet High School,11577,Glendale,Wisconsin
49,Undergraduate,Senior,Male,Unknown,U.S. Citizen,Non-Resident,18 to 21,16,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,Minnesota,46.25,-94.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
50,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,16,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
51,Undergraduate,Senior,Male,White,U.S. Citizen,Resident,18 to 21,12,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Waukesha,43.0181,-88.3044,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
52,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,30 to 39,13,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,Florida,28.42,-81.55,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
53,Undergraduate,Senior,Male,Hispanic,U.S. Citizen,Resident,18 to 21,12,Agricultural and Life Sciences,Soil Science BS,Continuing,Full Time,WI County,Milwaukee,43.0178,-87.9818,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
54,Undergraduate,Senior,Male,White,U.S. Citizen,Non-Resident,22 to 29,15,Agricultural and Life Sciences,Soil Science BS,Continuing,Full Time,US State,Illinois,40.0,-89.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
55,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,13,Agricultural and Life Sciences,Soil Science BS,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
56,Undergraduate,Senior,Male,White,U.S. Citizen,Resident,18 to 21,15,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Pierce,44.7034,-92.4259,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
57,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,22 to 29,18,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Wood,44.4689,-90.0212,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
58,Undergraduate,Senior,Female,Intl.,Non-Citizen,Non-Resident,18 to 21,14,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,International,India,22.741,78.236,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
59,Undergraduate,Senior,Female,Intl.,Non-Citizen,Non-Resident,22 to 29,8,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,International,India,22.741,78.236,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
60,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,7,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Waukesha,43.0181,-88.3044,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
61,Undergraduate,Senior,Male,White,U.S. Citizen,Resident,18 to 21,18,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Part Time,WI County,Oneida,45.6879,-89.5447,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
62,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,15,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Chippewa,45.0767,-91.2876,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
63,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,9,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
64,Undergraduate,Senior,Female,Intl.,Non-Citizen,Non-Resident,18 to 21,13,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,International,Canada,59.2067,-111.1937,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
65,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,14,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Waukesha,43.0181,-88.3044,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
66,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,22 to 29,14,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Shawano,44.8071,-88.7375,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
67,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,11,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Ozaukee,43.3679,-87.9585,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
68,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,15,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
69,Undergraduate,Senior,Female,Intl.,Non-Citizen,Non-Resident,18 to 21,13,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,International,India,22.741,78.236,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
70,Undergraduate,Senior,Male,White,U.S. Citizen,Non-Resident,40 to 49,16,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,New York,43.0,-75.49,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
71,Undergraduate,Senior,Male,White,U.S. Citizen,Resident,18 to 21,15,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Milwaukee,43.0178,-87.9818,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
72,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,16,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
73,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,14,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,Minnesota,46.25,-94.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
74,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,22 to 29,16,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
75,Undergraduate,Senior,Male,White,U.S. Citizen,Non-Resident,22 to 29,14,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,Minnesota,46.25,-94.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
76,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,30 to 39,12,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
77,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,11,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,California,37.25,-119.75,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
78,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,22 to 29,15,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,Minnesota,46.25,-94.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
79,Undergraduate,Senior,Male,2 or more races,U.S. Citizen,Non-Resident,18 to 21,13,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,Illinois,40.0,-89.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
80,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,12,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,Illinois,40.0,-89.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
81,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,13,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,Florida,28.42,-81.55,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
82,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,14,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,California,37.25,-119.75,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
83,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,13,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
84,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,16,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
85,Undergraduate,Senior,Male,Unknown,U.S. Citizen,Non-Resident,22 to 29,12,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,New Jersey,40.16,-74.49,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
86,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,30 to 39,13,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,District of Columbia,38.91,-77.0,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
87,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,13,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Walworth,42.6678,-88.5413,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
88,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,22 to 29,18,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
89,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,15,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Monroe,43.9434,-90.6118,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
90,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,9,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,St Croix,45.0351,-92.4543,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
91,Undergraduate,Senior,Male,White,U.S. Citizen,Non-Resident,22 to 29,12,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,Illinois,40.0,-89.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
92,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,17,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Milwaukee,43.0178,-87.9818,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
93,Undergraduate,Senior,Female,Hispanic,U.S. Citizen,Resident,18 to 21,16,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Racine,42.7271,-88.0428,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
94,Undergraduate,Senior,Female,Asian,U.S. Citizen,Resident,18 to 21,15,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Portage,44.4745,-89.475,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
95,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,14,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,New York,43.0,-75.49,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
96,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,17,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
97,Undergraduate,Senior,Male,White,U.S. Citizen,Resident,22 to 29,15,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Waupaca,44.4525,-88.9801,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
98,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,<18,14,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,Colorado,39.0,-105.5,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
99,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,12,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,New Jersey,40.16,-74.49,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
100,Undergraduate,Senior,Female,Asian,U.S. Citizen,Resident,22 to 29,14,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
101,Undergraduate,Senior,Female,Hispanic,U.S. Citizen,Resident,30 to 39,10,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Washington,43.3686,-88.2293,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
102,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,15,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Manitowoc,44.1103,-87.8415,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
103,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,13,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,Texas,31.25,-99.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
104,Undergraduate,Senior,Female,Hispanic,U.S. Citizen,Resident,18 to 21,13,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Waukesha,43.0181,-88.3044,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
105,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,15,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,New York,43.0,-75.49,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
106,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,22 to 29,12,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,Illinois,40.0,-89.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
107,Undergraduate,Senior,Male,White,U.S. Citizen,Resident,18 to 21,17,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
108,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,14,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,WI County,Waukesha,43.0181,-88.3044,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
109,Undergraduate,Senior,Female,2 or more races,U.S. Citizen,Non-Resident,22 to 29,12,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,Minnesota,46.25,-94.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
110,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,<18,18,Agricultural and Life Sciences,Science Communication UCrt,Continuing,Full Time,US State,Missouri,38.25,-92.5,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
