page,school,subject,is_course_total,course_num,section_num,grades_count,avg_gpa,A_pct,AB_pct,B_pct,BC_pct,C_pct,D_pct,F_pct,S_pct,U_pct,CR_pct,N_pct,P_pct,I_pct,NW_pct,NR_pct,other_pct,course_title
1,ALS,108 AAE,False,399,081,1,***,,,,,,,,,,.,.,.,.,.,.,.,Coord Intrnshp/Cooprtv Educ
1,ALS,108 AAE,False,399,082,1,***,,,,,,,,,,.,.,.,.,.,.,.,Coord Intrnshp/Cooprtv Educ
1,ALS,108 AAE,False,399,101,2,***,,,,,,,,,,.,.,.,.,.,.,.,Coord Intrnshp/Cooprtv Educ
1,ALS,108 AAE,True,399,Course,4,***,,,,,,,,,,,,,,,,,Coord Intrnshp/Cooprtv Educ
1,ALS,108 AAE,False,421,001,24,3.396,45.8,33.3,4.2,4.2,8.3,.,4.2,.,.,.,.,.,.,.,.,.,Economic Decision Analysis
1,ALS,108 AAE,False,422,001,24,3.521,50.0,16.7,20.8,12.5,.,.,.,.,.,.,.,.,.,.,.,.,Food Systems & Supply Chains
1,ALS,108 AAE,False,474,001,17,3.647,47.1,35.3,17.6,.,.,.,.,.,.,.,.,.,.,.,.,.,Econ Probs-Developing Areas
1,ALS,108 AAE,False,635,001,11,3.700,54.5,18.2,18.2,.,.,.,.,.,.,.,.,.,9.1,.,.,.,Applied Microeconomic Thry
1,ALS,108 AAE,False,636,001,14,3.679,42.9,50.0,7.1,.,.,.,.,.,.,.,.,.,.,.,.,.,Applied Econometric Analysis I
1,ALS,108 AAE,False,699,082,1,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
1,ALS,108 AAE,False,699,096,2,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
1,ALS,108 AAE,False,699,097,1,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
1,ALS,108 AAE,False,699,101,1,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
1,ALS,108 AAE,True,699,Course,5,***,,,,,,,,,,,,,,,,,Special Problems
1,ALS,108 AAE,False,720,001,6,3.833,83.3,.,16.7,.,.,.,.,.,.,.,.,.,.,.,.,.,Seminar Quant & Applied Econ
1,ALS,108 AAE,False,722,001,20,3.921,90.0,.,.,5.0,.,.,.,.,.,.,.,.,5.0,.,.,.,Machine Learning Ap Econ Anlys
1,ALS,108 AAE,False,723,001,15,3.800,73.3,20.0,.,6.7,.,.,.,.,.,.,.,.,.,.,.,.,Professional Development Sem
1,ALS,108 AAE,False,724,001,5,***,,,,,,,,,,.,.,.,.,.,.,.,Pract for Applied Economists
1,ALS,108 AAE,False,731,001,5,***,,,,,,,,,,.,.,.,.,.,.,.,Development Economics 2
1,ALS,108 AAE,False,746,001,8,4.000,100.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Agricultural Economics 1
1,ALS,108 AAE,False,762,001,9,4.000,100.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Envir & Resource Econ 2
1,ALS,108 AAE,False,875,001,10,4.000,100.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Special Topics
1,ALS,108 AAE,False,899,002,1,***,,,,,,,,,,.,.,.,.,.,.,.,Grad Prac Training/Internship
1,ALS,108 AAE,False,990,057,3,***,,,,,,,,,,.,.,.,.,.,.,.,Research and Thesis
1,ALS,108 AAE,False,990,058,4,***,,,,,,,,,,.,.,.,.,.,.,.,Research and Thesis
2,ALS,108 AAE,False,990,079,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research and Thesis
2,ALS,108 AAE,False,990,082,4,***,,,,,,,,,,.,.,.,.,.,.,.,Research and Thesis
2,ALS,108 AAE,False,990,086,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research and Thesis
2,ALS,108 AAE,False,990,089,2,***,,,,,,,,,,.,.,.,.,.,.,.,Research and Thesis
2,ALS,108 AAE,False,990,093,7,,.,.,.,.,.,.,.,100.0,.,.,.,.,.,.,.,.,Research and Thesis
2,ALS,108 AAE,False,990,095,2,***,,,,,,,,,,.,.,.,.,.,.,.,Research and Thesis
2,ALS,108 AAE,False,990,097,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research and Thesis
2,ALS,108 AAE,False,990,098,4,***,,,,,,,,,,.,.,.,.,.,.,.,Research and Thesis
2,ALS,108 AAE,False,990,105,4,***,,,,,,,,,,.,.,.,.,.,.,.,Research and Thesis
2,ALS,108 AAE,True,990,Course,33,,.,.,.,.,.,.,,84.8,.,,.,15.2,.,.,.,.,Research and Thesis
2,ALS,108 AAE,False,999,083,1,***,,,,,,,,,,.,.,.,.,.,.,.,Spec Work-Ag & Appl Economics
2,ALS,108 AAE,False,999,107,1,***,,,,,,,,,,.,.,.,.,.,.,.,Spec Work-Ag & Appl Economics
2,ALS,108 AAE,True,999,Course,2,***,,,,,,,,,,,,,,,,,Spec Work-Ag & Appl Economics
3,ALS,112 BSE,False,1,010,1,***,,,,,,,,,,.,.,.,.,.,.,.,Cooperative Educ Program
3,ALS,112 BSE,False,249,001,44,2.318,4.5,9.1,25.0,9.1,31.8,20.5,.,.,.,.,.,.,.,.,.,.,Engr Principles-Biol Systms
3,ALS,112 BSE,False,270,001,40,3.375,27.5,30.0,32.5,10.0,.,.,.,.,.,.,.,.,.,.,.,.,Intro to Computer Aided Design
3,ALS,112 BSE,False,299,021,1,***,,,,,,,,,,.,.,.,.,.,.,.,Independent Study
3,ALS,112 BSE,False,305,001,28,3.554,57.1,21.4,7.1,3.6,10.7,.,.,.,.,.,.,.,.,.,.,.,Intro to Precision Agriculture
3,ALS,112 BSE,False,367,001,92,3.944,90.2,4.3,3.3,.,.,.,.,.,.,.,.,.,.,.,2.2,.,Renewable Energy Systems
3,ALS,112 BSE,False,367,003,1,***,,,,,,,,,,.,.,.,.,.,.,.,Renewable Energy Systems
3,ALS,112 BSE,True,367,Course,93,3.945,90.3,4.3,3.2,.,.,.,,.,.,,.,.,.,.,2.2,.,Renewable Energy Systems
3,ALS,112 BSE,False,372,001,31,2.839,12.9,9.7,22.6,41.9,12.9,.,.,.,.,.,.,.,.,.,.,.,On-Site Waste Water Treatment
3,ALS,112 BSE,False,380,001,61,3.598,52.5,26.2,13.1,4.9,3.3,.,.,.,.,.,.,.,.,.,.,.,Data Science for Life Science
3,ALS,112 BSE,False,473,001,34,3.632,47.1,41.2,2.9,8.8,.,.,.,.,.,.,.,.,.,.,.,.,Water Mgmt Systems
3,ALS,112 BSE,False,475,001,20,2.825,20.0,25.0,30.0,.,5.0,15.0,5.0,.,.,.,.,.,.,.,.,.,Engr Principles-Ag Machinery
3,ALS,112 BSE,False,509,001,39,3.474,43.6,38.5,12.8,.,.,.,5.1,.,.,.,.,.,.,.,.,.,Biol Sys Eng Dsgn Practicum II
3,ALS,112 BSE,False,681,001,1,***,,,,,,,,,,.,.,.,.,.,.,.,Senior Honors Thesis
3,ALS,112 BSE,False,699,033,1,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
3,ALS,112 BSE,False,900,001,7,4.000,100.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Seminar
3,ALS,112 BSE,False,990,003,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research
3,ALS,112 BSE,False,990,010,5,***,,,,,,,,,,.,.,.,.,.,.,.,Research
3,ALS,112 BSE,False,990,013,3,***,,,,,,,,,,.,.,.,.,.,.,.,Research
3,ALS,112 BSE,False,990,014,4,***,,,,,,,,,,.,.,.,.,.,.,.,Research
3,ALS,112 BSE,False,990,018,4,***,,,,,,,,,,.,.,.,.,.,.,.,Research
3,ALS,112 BSE,False,990,030,4,***,,,,,,,,,,.,.,.,.,.,.,.,Research
3,ALS,112 BSE,False,990,031,2,***,,,,,,,,,,.,.,.,.,.,.,.,Research
3,ALS,112 BSE,False,990,033,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research
3,ALS,112 BSE,False,990,035,2,***,,,,,,,,,,.,.,.,.,.,.,.,Research
3,ALS,112 BSE,False,990,038,3,***,,,,,,,,,,.,.,.,.,.,.,.,Research
3,ALS,112 BSE,False,990,039,4,***,,,,,,,,,,.,.,.,.,.,.,.,Research
3,ALS,112 BSE,False,990,040,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research
3,ALS,112 BSE,False,990,042,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research
3,ALS,112 BSE,True,990,Course,35,,.,.,.,.,.,.,,65.7,.,,.,34.3,.,.,.,.,Research
3,ALS,112 BSE,False,999,020,1,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
5,ALS,120 LSC,False,100,001,15,3.833,66.7,33.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,002,16,3.719,75.0,6.3,12.5,.,6.3,.,.,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,006,15,3.533,66.7,13.3,13.3,.,.,.,6.7,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,008,14,3.786,78.6,7.1,7.1,7.1,.,.,.,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,010,16,3.750,68.8,18.8,6.3,6.3,.,.,.,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,011,15,3.567,66.7,20.0,.,.,6.7,6.7,.,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,012,16,3.906,81.3,18.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,014,15,3.933,93.3,.,6.7,.,.,.,.,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,015,16,3.938,93.8,.,6.3,.,.,.,.,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,016,15,3.967,93.3,6.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,017,15,3.767,60.0,33.3,6.7,.,.,.,.,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,020,16,3.625,68.8,18.8,.,6.3,.,6.3,.,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,021,15,3.667,80.0,13.3,.,.,.,.,6.7,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,022,15,3.867,86.7,6.7,.,6.7,.,.,.,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,023,16,3.625,56.3,25.0,12.5,.,6.3,.,.,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,100,024,16,4.000,100.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,True,100,Course,246,3.780,77.2,13.8,4.5,1.6,1.2,0.8,0.8,.,.,,.,.,.,.,.,.,Science and Storytelling
5,ALS,120 LSC,False,155,001,18,3.889,83.3,11.1,5.6,.,.,.,.,.,.,.,.,.,.,.,.,.,Sci Comm First-Year Seminar
5,ALS,120 LSC,False,212,001,19,3.842,68.4,31.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Intro-Scientific Communication
5,ALS,120 LSC,False,212,002,19,3.895,84.2,10.5,5.3,.,.,.,.,.,.,.,.,.,.,.,.,.,Intro-Scientific Communication
5,ALS,120 LSC,False,212,003,19,3.842,78.9,10.5,10.5,.,.,.,.,.,.,.,.,.,.,.,.,.,Intro-Scientific Communication
5,ALS,120 LSC,False,212,004,19,3.974,94.7,5.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Intro-Scientific Communication
5,ALS,120 LSC,False,212,005,20,3.900,85.0,10.0,5.0,.,.,.,.,.,.,.,.,.,.,.,.,.,Intro-Scientific Communication
5,ALS,120 LSC,False,212,006,20,3.975,95.0,5.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Intro-Scientific Communication
5,ALS,120 LSC,True,212,Course,116,3.905,84.5,12.1,3.4,.,.,.,,.,.,,.,.,.,.,.,.,Intro-Scientific Communication
5,ALS,120 LSC,False,250,001,37,3.784,67.6,24.3,5.4,2.7,.,.,.,.,.,.,.,.,.,.,.,.,Rsrch Mthd: Commun Indstry
5,ALS,120 LSC,False,251,001,245,3.598,65.3,15.1,7.8,4.9,3.7,2.9,0.4,.,.,.,.,.,.,.,.,.,"Science, Media and Society"
5,ALS,120 LSC,False,270,001,71,3.754,64.8,26.8,7.0,.,.,1.4,.,.,.,.,.,.,.,.,.,.,Marketing Comm for Sciences
5,ALS,120 LSC,False,314,001,26,3.788,92.3,.,.,3.8,.,.,3.8,.,.,.,.,.,.,.,.,.,Intro to Digital Video Prod
5,ALS,120 LSC,False,332,001,21,3.952,90.5,9.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Digital & Print Media Design
5,ALS,120 LSC,False,332,002,20,3.700,55.0,30.0,15.0,.,.,.,.,.,.,.,.,.,.,.,.,.,Digital & Print Media Design
5,ALS,120 LSC,True,332,Course,41,3.829,73.2,19.5,7.3,.,.,.,,.,.,,.,.,.,.,.,.,Digital & Print Media Design
5,ALS,120 LSC,False,350,001,52,3.856,80.8,13.5,1.9,3.8,.,.,.,.,.,.,.,.,.,.,.,.,Visualizing Sci & Technology
5,ALS,120 LSC,False,360,001,19,4.000,100.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Science Podcasting & Radio
5,ALS,120 LSC,False,432,001,89,3.506,40.4,39.3,14.6,1.1,1.1,2.2,1.1,.,.,.,.,.,.,.,.,.,Social Media for Sciences
5,ALS,120 LSC,False,450,001,44,3.919,84.1,11.4,2.3,.,.,.,.,.,.,.,.,.,.,.,2.3,.,Photography for the Sciences
5,ALS,120 LSC,False,532,001,25,3.680,68.0,24.0,4.0,.,.,.,4.0,.,.,.,.,.,.,.,.,.,Web Design for the Sciences
5,ALS,120 LSC,False,560,001,18,3.972,94.4,5.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Scientific Writing
5,ALS,120 LSC,False,560,002,15,4.000,100.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Scientific Writing
5,ALS,120 LSC,True,560,Course,33,3.985,97.0,3.0,.,.,.,.,,.,.,,.,.,.,.,.,.,Scientific Writing
5,ALS,120 LSC,False,617,001,8,3.938,87.5,12.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Hlth Communication-Info Age
6,ALS,120 LSC,False,617,002,29,3.741,75.9,10.3,6.9,.,6.9,.,.,.,.,.,.,.,.,.,.,.,Hlth Communication-Info Age
6,ALS,120 LSC,True,617,Course,37,3.784,78.4,10.8,5.4,.,5.4,.,,.,.,,.,.,.,.,.,.,Hlth Communication-Info Age
6,ALS,120 LSC,False,625,001,26,3.788,69.2,19.2,11.5,.,.,.,.,.,.,.,.,.,.,.,.,.,Risk Communication
6,ALS,120 LSC,False,640,001,10,4.000,100.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Case Studies-Com of Sci & Tech
6,ALS,120 LSC,False,681,001,1,***,,,,,,,,,,.,.,.,.,.,.,.,Senior Honors Thesis
6,ALS,120 LSC,False,720,001,10,4.000,100.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Intro-Communication Thry&Rsch
6,ALS,120 LSC,False,912,001,11,4.000,100.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Understanding Politicized Sci
6,ALS,120 LSC,False,990,010,2,***,,,,,,,,,,.,.,.,.,.,.,.,Research
6,ALS,120 LSC,False,990,013,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research
6,ALS,120 LSC,False,990,015,2,***,,,,,,,,,,.,.,.,.,.,.,.,Research
6,ALS,120 LSC,False,990,025,2,***,,,,,,,,,,.,.,.,.,.,.,.,Research
6,ALS,120 LSC,False,990,035,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research
6,ALS,120 LSC,True,990,Course,8,,.,.,.,.,.,.,,75.0,.,,.,25.0,.,.,.,.,Research
6,ALS,120 LSC,False,999,039,1,***,,,,,,,,,,.,.,.,.,.,.,.,Independent Research
7,ALS,130 AGROECOL,False,103,002,93,3.545,45.2,24.7,20.4,1.1,2.2,.,1.1,1.1,.,.,.,.,4.3,.,.,.,Agroecology of Food and Ag
7,ALS,130 AGROECOL,False,301,001,7,3.786,71.4,14.3,14.3,.,.,.,.,.,.,.,.,.,.,.,.,.,Human History of Plant&Science
7,ALS,130 AGROECOL,False,303,001,11,3.773,54.5,45.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Agroecological Systems
7,ALS,130 AGROECOL,False,370,001,173,3.861,82.7,12.7,2.3,.,1.7,0.6,.,.,.,.,.,.,.,.,.,.,Grassland Ecology
7,ALS,130 AGROECOL,False,701,001,6,4.000,100.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Farm as Socio-Envir Endeavor
7,ALS,130 AGROECOL,False,710,001,16,,.,.,.,.,.,.,.,100.0,.,.,.,.,.,.,.,.,Seminar in Agroecology
7,ALS,130 AGROECOL,False,724,001,4,***,,,,,,,,,,.,.,.,.,.,.,.,Agroecosystems & Global Chng
7,ALS,130 AGROECOL,False,953,001,1,***,,,,,,,,,,.,.,.,.,.,.,.,Intr. to WI Ecol.: Grad Sem
7,ALS,130 AGROECOL,False,990,006,2,***,,,,,,,,,,.,.,.,.,.,.,.,Research
7,ALS,130 AGROECOL,False,990,021,7,,.,.,.,.,.,.,.,.,.,.,.,100.0,.,.,.,.,Research
7,ALS,130 AGROECOL,False,990,024,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research
7,ALS,130 AGROECOL,False,990,025,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research
7,ALS,130 AGROECOL,False,990,028,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research
7,ALS,130 AGROECOL,False,990,036,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research
7,ALS,130 AGROECOL,False,990,037,2,***,,,,,,,,,,.,.,.,.,.,.,.,Research
7,ALS,130 AGROECOL,False,990,038,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research
7,ALS,130 AGROECOL,False,990,039,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research
7,ALS,130 AGROECOL,False,990,041,1,***,,,,,,,,,,.,.,.,.,.,.,.,Research
7,ALS,130 AGROECOL,True,990,Course,18,,.,.,.,.,.,.,,44.4,.,,.,55.6,.,.,.,.,Research
8,ALS,192 MICROBIO,False,101,001,371,3.051,22.4,21.8,24.8,14.8,11.3,4.3,0.3,.,.,.,.,.,0.3,.,.,.,General Microbiology
8,ALS,192 MICROBIO,False,102,001,40,3.125,17.5,20.0,45.0,5.0,12.5,.,.,.,.,.,.,.,.,.,.,.,General Microbiology Lab
8,ALS,192 MICROBIO,False,102,002,38,3.434,42.1,15.8,31.6,7.9,2.6,.,.,.,.,.,.,.,.,.,.,.,General Microbiology Lab
8,ALS,192 MICROBIO,False,102,003,37,3.216,27.0,18.9,35.1,8.1,10.8,.,.,.,.,.,.,.,.,.,.,.,General Microbiology Lab
8,ALS,192 MICROBIO,False,102,004,38,3.368,39.5,15.8,28.9,10.5,5.3,.,.,.,.,.,.,.,.,.,.,.,General Microbiology Lab
8,ALS,192 MICROBIO,True,102,Course,153,3.284,31.4,17.6,35.3,7.8,7.8,.,,.,.,,.,.,.,.,.,.,General Microbiology Lab
8,ALS,192 MICROBIO,False,150,001,25,3.920,96.0,.,.,.,4.0,.,.,.,.,.,.,.,.,.,.,.,Microbiomes First-Year Sem
8,ALS,192 MICROBIO,False,150,003,25,3.680,64.0,16.0,16.0,.,4.0,.,.,.,.,.,.,.,.,.,.,.,Microbiomes First-Year Sem
8,ALS,192 MICROBIO,True,150,Course,50,3.800,80.0,8.0,8.0,.,4.0,.,,.,.,,.,.,.,.,.,.,Microbiomes First-Year Sem
8,ALS,192 MICROBIO,False,299,002,1,***,,,,,,,,,,.,.,.,.,.,.,.,Independent Study
8,ALS,192 MICROBIO,False,299,015,2,***,,,,,,,,,,.,.,.,.,.,.,.,Independent Study
8,ALS,192 MICROBIO,False,299,017,1,***,,,,,,,,,,.,.,.,.,.,.,.,Independent Study
8,ALS,192 MICROBIO,False,299,030,1,***,,,,,,,,,,.,.,.,.,.,.,.,Independent Study
8,ALS,192 MICROBIO,False,299,034,1,***,,,,,,,,,,.,.,.,.,.,.,.,Independent Study
8,ALS,192 MICROBIO,False,299,091,1,***,,,,,,,,,,.,.,.,.,.,.,.,Independent Study
8,ALS,192 MICROBIO,False,299,098,7,3.857,71.4,28.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Independent Study
8,ALS,192 MICROBIO,False,299,101,2,***,,,,,,,,,,.,.,.,.,.,.,.,Independent Study
8,ALS,192 MICROBIO,True,299,Course,16,3.938,87.5,12.5,.,.,.,.,,.,.,,.,.,.,.,.,.,Independent Study
8,ALS,192 MICROBIO,False,303,001,265,3.170,30.9,20.8,28.7,2.6,10.9,4.9,0.8,.,.,.,.,.,.,.,0.4,.,Biology of Microorganisms
8,ALS,192 MICROBIO,False,304,001,39,3.308,38.5,17.9,30.8,2.6,7.7,.,2.6,.,.,.,.,.,.,.,.,.,Biology of Microorganisms Lab
8,ALS,192 MICROBIO,False,304,002,38,3.118,21.1,10.5,57.9,2.6,5.3,.,2.6,.,.,.,.,.,.,.,.,.,Biology of Microorganisms Lab
8,ALS,192 MICROBIO,False,304,003,40,3.375,30.0,27.5,35.0,2.5,5.0,.,.,.,.,.,.,.,.,.,.,.,Biology of Microorganisms Lab
8,ALS,192 MICROBIO,False,304,004,39,3.218,28.2,20.5,33.3,7.7,7.7,2.6,.,.,.,.,.,.,.,.,.,.,Biology of Microorganisms Lab
8,ALS,192 MICROBIO,True,304,Course,156,3.256,29.5,19.2,39.1,3.8,6.4,0.6,1.3,.,.,,.,.,.,.,.,.,Biology of Microorganisms Lab
8,ALS,192 MICROBIO,False,305,001,19,3.789,94.7,.,.,.,.,.,5.3,.,.,.,.,.,.,.,.,.,Critical Analyses-Microbiology
8,ALS,192 MICROBIO,False,305,002,21,3.976,95.2,4.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Critical Analyses-Microbiology
8,ALS,192 MICROBIO,True,305,Course,40,3.888,95.0,2.5,.,.,.,.,2.5,.,.,,.,.,.,.,.,.,Critical Analyses-Microbiology
8,ALS,192 MICROBIO,False,324,003,3,***,,,,,,,,,,.,.,.,.,.,.,.,Food Microbiology Laboratory
8,ALS,192 MICROBIO,False,324,004,3,***,,,,,,,,,,.,.,.,.,.,.,.,Food Microbiology Laboratory
8,ALS,192 MICROBIO,True,324,Course,6,3.417,50.0,16.7,16.7,.,16.7,.,,.,.,,.,.,.,.,.,.,Food Microbiology Laboratory
8,ALS,192 MICROBIO,False,325,001,27,2.981,37.0,7.4,14.8,11.1,22.2,7.4,.,.,.,.,.,.,.,.,.,.,Food Microbiology
8,ALS,192 MICROBIO,False,375,001,9,3.389,33.3,22.2,33.3,11.1,.,.,.,.,.,.,.,.,.,.,.,.,Special Topics
8,ALS,192 MICROBIO,False,375,002,17,3.967,82.4,5.9,.,.,.,.,.,5.9,.,.,.,.,.,5.9,.,.,Special Topics
8,ALS,192 MICROBIO,True,375,Course,26,3.595,65.4,11.5,11.5,3.8,.,.,,3.8,.,,.,.,.,3.8,.,.,Special Topics
8,ALS,192 MICROBIO,False,470,001,60,3.342,21.7,40.0,25.0,11.7,1.7,.,.,.,.,.,.,.,.,.,.,.,Micro Genetics & Mol Machines
8,ALS,192 MICROBIO,False,526,001,47,3.255,42.6,10.6,25.5,10.6,4.3,6.4,.,.,.,.,.,.,.,.,.,.,Physiol of Microorganisms
8,ALS,192 MICROBIO,False,527,001,58,3.544,53.4,19.0,15.5,1.7,8.6,.,.,.,.,.,.,.,1.7,.,.,.,Adv Lab Techniques - Microbio
8,ALS,192 MICROBIO,False,612,001,24,3.521,33.3,37.5,29.2,.,.,.,.,.,.,.,.,.,.,.,.,.,Prokaryotic Molecular Biol
8,ALS,192 MICROBIO,False,626,001,31,3.871,77.4,19.4,3.2,.,.,.,.,.,.,.,.,.,.,.,.,.,Cellular Metabolomics
8,ALS,192 MICROBIO,False,681,017,1,***,,,,,,,,,,.,.,.,.,.,.,.,Senior Honors Thesis
8,ALS,192 MICROBIO,False,699,002,1,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
9,ALS,192 MICROBIO,False,699,008,2,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
9,ALS,192 MICROBIO,False,699,010,1,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
9,ALS,192 MICROBIO,False,699,018,1,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
9,ALS,192 MICROBIO,False,699,020,2,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
9,ALS,192 MICROBIO,False,699,030,2,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
9,ALS,192 MICROBIO,False,699,071,1,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
9,ALS,192 MICROBIO,False,699,091,3,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
9,ALS,192 MICROBIO,False,699,095,1,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
9,ALS,192 MICROBIO,False,699,096,3,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
9,ALS,192 MICROBIO,False,699,097,1,***,,,,,,,,,,.,.,.,.,.,.,.,Special Problems
9,ALS,192 MICROBIO,False,699,098,7,3.867,71.4,28.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Special Problems
